Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
26260,Southern Grampians (S),21,Inner Regional Australia,0.6175292,61.7529164,,,,,,,
26260,Southern Grampians (S),22,Outer Regional Australia,0.3824708,38.2470836,,,,,,,
26350,Stonnington (C),20,Major Cities of Australia,1,100,,,,,,,
26430,Strathbogie (S),21,Inner Regional Australia,1,100,,,,,,,
26490,Surf Coast (S),21,Inner Regional Australia,1,100,,,,,,,
26610,Swan Hill (RC),22,Outer Regional Australia,1,100,,,,,,,
26670,Towong (S),21,Inner Regional Australia,0.2104537,21.0453732,,,,,,,
26670,Towong (S),22,Outer Regional Australia,0.7895463,78.9546268,,,,,,,
26700,Wangaratta (RC),21,Inner Regional Australia,0.9635725,96.3572499,,,,,,,
26700,Wangaratta (RC),22,Outer Regional Australia,0.0364275,3.6427501,,,,,,,
26730,Warrnambool (C),21,Inner Regional Australia,1,100,,,,,,,
26810,Wellington (S),21,Inner Regional Australia,0.8671945,86.7194453,,,,,,,
26810,Wellington (S),22,Outer Regional Australia,0.1328055,13.2805547,,,,,,,
26890,West Wimmera (S),22,Outer Regional Australia,0.9924721,99.2472121,,,,,,,
26890,West Wimmera (S),23,Remote Australia,0.0075279,0.7527879,,,,,,,
26980,Whitehorse (C),20,Major Cities of Australia,1,100,,,,,,,
27070,Whittlesea (C),20,Major Cities of Australia,0.9540408,95.4040824,,,,,,,
27070,Whittlesea (C),21,Inner Regional Australia,0.0459592,4.5959176,,,,,,,
27170,Wodonga (RC),21,Inner Regional Australia,1,100,,,,,,,
27260,Wyndham (C),20,Major Cities of Australia,0.9874859,98.7485928,,,,,,,
27260,Wyndham (C),21,Inner Regional Australia,0.0125141,1.2514072,,,,,,,
27350,Yarra (C),20,Major Cities of Australia,1,100,,,,,,,
27450,Yarra Ranges (S),20,Major Cities of Australia,0.7901459,79.0145912,,,,,,,
27450,Yarra Ranges (S),21,Inner Regional Australia,0.2098541,20.9854088,,,,,,,
27630,Yarriambiack (S),22,Outer Regional Australia,0.8268468,82.6846783,,,,,,,
27630,Yarriambiack (S),23,Remote Australia,0.1731532,17.3153217,,,,,,,
29399,Unincorporated Vic,21,Inner Regional Australia,0.0013093,0.1309324,,,,,,,
29399,Unincorporated Vic,22,Outer Regional Australia,0.9986907,99.8690676,,,,,,,
30250,Aurukun (S),34,Very Remote Australia,1,100,,,,,,,
30300,Balonne (S),33,Remote Australia,0.7786009,77.8600877,,,,,,,
30300,Balonne (S),34,Very Remote Australia,0.2213991,22.1399123,,,,,,,
30370,Banana (S),32,Outer Regional Australia,0.8938214,89.3821423,,,,,,,
30370,Banana (S),33,Remote Australia,0.1061786,10.6178577,,,,,,,
30410,Barcaldine (R),34,Very Remote Australia,1,100,,,,,,,
30450,Barcoo (S),34,Very Remote Australia,1,100,,,,,,,
30760,Blackall Tambo (R),34,Very Remote Australia,1,100,,,,,,,
30900,Boulia (S),34,Very Remote Australia,1,100,,,,,,,
31000,Brisbane (C),30,Major Cities of Australia,0.9990793,99.907931,,,,,,,
31000,Brisbane (C),31,Inner Regional Australia,0.0006366,0.0636568,,,,,,,
31000,Brisbane (C),33,Remote Australia,0.0002841,0.0284119,,,,,,,
31750,Bulloo (S),34,Very Remote Australia,1,100,,,,,,,
31820,Bundaberg (R),31,Inner Regional Australia,0.9543405,95.4340485,,,,,,,
31820,Bundaberg (R),32,Outer Regional Australia,0.0456595,4.5659515,,,,,,,
31900,Burdekin (S),32,Outer Regional Australia,0.9881571,98.8157071,,,,,,,
31900,Burdekin (S),33,Remote Australia,0.0118429,1.1842929,,,,,,,
31950,Burke (S),34,Very Remote Australia,1,100,,,,,,,
32070,Cairns (R),32,Outer Regional Australia,0.9955599,99.5559907,,,,,,,
32070,Cairns (R),33,Remote Australia,0.0044401,0.4440093,,,,,,,
32250,Carpentaria (S),34,Very Remote Australia,1,100,,,,,,,
32260,Cassowary Coast (R),32,Outer Regional Australia,0.873353,87.3353005,,,,,,,
32260,Cassowary Coast (R),33,Remote Australia,0.1266464,12.6646381,,,,,,,
32270,Central Highlands (R),32,Outer Regional Australia,0.692101,69.2101014,,,,,,,
32270,Central Highlands (R),33,Remote Australia,0.2999458,29.9945806,,,,,,,
32270,Central Highlands (R),34,Very Remote Australia,0.0079532,0.7953179,,,,,,,
32310,Charters Towers (R),32,Outer Regional Australia,0.8129757,81.297573,,,,,,,
32310,Charters Towers (R),33,Remote Australia,0.1256256,12.5625608,,,,,,,
32310,Charters Towers (R),34,Very Remote Australia,0.0613987,6.1398662,,,,,,,
32330,Cherbourg (S),32,Outer Regional Australia,1,100,,,,,,,
32450,Cloncurry (S),33,Remote Australia,0.7171929,71.7192923,,,,,,,
32450,Cloncurry (S),34,Very Remote Australia,0.2828071,28.2807077,,,,,,,
32500,Cook (S),33,Remote Australia,0.7081168,70.8116829,,,,,,,
32500,Cook (S),34,Very Remote Australia,0.2918832,29.1883171,,,,,,,
32600,Croydon (S),34,Very Remote Australia,1,100,,,,,,,
32750,Diamantina (S),34,Very Remote Australia,1,100,,,,,,,
32770,Doomadgee (S),34,Very Remote Australia,1,100,,,,,,,
33100,Etheridge (S),34,Very Remote Australia,1,100,,,,,,,
33200,Flinders (S),34,Very Remote Australia,1,100,,,,,,,
33220,Fraser Coast (R),31,Inner Regional Australia,0.994651,99.4650969,,,,,,,
33220,Fraser Coast (R),32,Outer Regional Australia,0.0033158,0.3315757,,,,,,,
33220,Fraser Coast (R),33,Remote Australia,0.0020333,0.2033273,,,,,,,
33360,Gladstone (R),31,Inner Regional Australia,0.8653096,86.5309572,,,,,,,
33360,Gladstone (R),32,Outer Regional Australia,0.1323405,13.2340482,,,,,,,
33360,Gladstone (R),33,Remote Australia,0.0023499,0.2349946,,,,,,,
33430,Gold Coast (C),30,Major Cities of Australia,0.9900464,99.0046379,,,,,,,
33430,Gold Coast (C),31,Inner Regional Australia,0.0097493,0.9749316,,,,,,,
33430,Gold Coast (C),32,Outer Regional Australia,0.0002043,0.0204304,,,,,,,
33610,Goondiwindi (R),32,Outer Regional Australia,0.9483485,94.8348526,,,,,,,
33610,Goondiwindi (R),33,Remote Australia,0.0516515,5.1651474,,,,,,,
33620,Gympie (R),31,Inner Regional Australia,0.9556406,95.5640627,,,,,,,
33620,Gympie (R),32,Outer Regional Australia,0.0443594,4.4359373,,,,,,,
33800,Hinchinbrook (S),32,Outer Regional Australia,0.6804684,68.0468414,,,,,,,
33800,Hinchinbrook (S),33,Remote Australia,0.3157276,31.5727572,,,,,,,
33800,Hinchinbrook (S),34,Very Remote Australia,0.003804,0.3804014,,,,,,,
33830,Hope Vale (S),33,Remote Australia,1,100,,,,,,,
33960,Ipswich (C),30,Major Cities of Australia,0.948103,94.8102981,,,,,,,
33960,Ipswich (C),31,Inner Regional Australia,0.051897,5.1897019,,,,,,,
33980,Isaac (R),32,Outer Regional Australia,0.6639005,66.3900482,,,,,,,
33980,Isaac (R),33,Remote Australia,0.3262196,32.6219587,,,,,,,
33980,Isaac (R),34,Very Remote Australia,0.0098799,0.9879931,,,,,,,
34420,Kowanyama (S),34,Very Remote Australia,1,100,,,,,,,
34570,Lockhart River (S),34,Very Remote Australia,1,100,,,,,,,
34580,Lockyer Valley (R),31,Inner Regional Australia,1,100,,,,,,,
34590,Logan (C),30,Major Cities of Australia,0.9399849,93.998486,,,,,,,
34590,Logan (C),31,Inner Regional Australia,0.0600151,6.001514,,,,,,,
34710,Longreach (R),34,Very Remote Australia,1,100,,,,,,,
34770,Mackay (R),31,Inner Regional Australia,0.6795529,67.9552874,,,,,,,
34770,Mackay (R),32,Outer Regional Australia,0.319493,31.9493005,,,,,,,
34770,Mackay (R),33,Remote Australia,0.000954,0.0954023,,,,,,,
34800,McKinlay (S),34,Very Remote Australia,1,100,,,,,,,
34830,Mapoon (S),34,Very Remote Australia,1,100,,,,,,,
34860,Maranoa (R),32,Outer Regional Australia,0.5689693,56.8969283,,,,,,,
34860,Maranoa (R),33,Remote Australia,0.2556485,25.5648466,,,,,,,
34860,Maranoa (R),34,Very Remote Australia,0.1753823,17.5382251,,,,,,,
35010,Moreton Bay (R),30,Major Cities of Australia,0.9052063,90.5206283,,,,,,,
35010,Moreton Bay (R),31,Inner Regional Australia,0.0947937,9.4793717,,,,,,,
35250,Mornington (S),34,Very Remote Australia,1,100,,,,,,,
35300,Mount Isa (C),33,Remote Australia,0.9684074,96.8407393,,,,,,,
35300,Mount Isa (C),34,Very Remote Australia,0.0315926,3.1592607,,,,,,,
35600,Murweh (S),34,Very Remote Australia,1,100,,,,,,,
35670,Napranum (S),34,Very Remote Australia,1,100,,,,,,,
35760,North Burnett (R),32,Outer Regional Australia,0.9797884,97.9788399,,,,,,,
35760,North Burnett (R),33,Remote Australia,0.0202116,2.0211601,,,,,,,
35780,Northern Peninsula Area (R),34,Very Remote Australia,1,100,,,,,,,
35790,Palm Island (S),33,Remote Australia,0.9999962,99.9996151,,,,,,,
35800,Paroo (S),34,Very Remote Australia,1,100,,,,,,,
36070,Pormpuraaw (S),34,Very Remote Australia,1,100,,,,,,,
36150,Quilpie (S),34,Very Remote Australia,1,100,,,,,,,
36250,Redland (C),30,Major Cities of Australia,0.9358653,93.5865265,,,,,,,
36250,Redland (C),31,Inner Regional Australia,0.0274765,2.7476521,,,,,,,
36250,Redland (C),32,Outer Regional Australia,0.0292589,2.925893,,,,,,,
36250,Redland (C),33,Remote Australia,0.0073993,0.7399284,,,,,,,
36300,Richmond (S),34,Very Remote Australia,1,100,,,,,,,
36360,Rockhampton (R),31,Inner Regional Australia,0.9644561,96.4456063,,,,,,,
36360,Rockhampton (R),32,Outer Regional Australia,0.0309105,3.0910479,,,,,,,
36360,Rockhampton (R),33,Remote Australia,0.0046328,0.4632763,,,,,,,
36510,Scenic Rim (R),30,Major Cities of Australia,0.1868407,18.6840694,,,,,,,
36510,Scenic Rim (R),31,Inner Regional Australia,0.8070975,80.709747,,,,,,,
36510,Scenic Rim (R),32,Outer Regional Australia,0.0060618,0.6061835,,,,,,,
36580,Somerset (R),31,Inner Regional Australia,0.9653495,96.5349487,,,,,,,
36580,Somerset (R),32,Outer Regional Australia,0.0346505,3.4650513,,,,,,,
36630,South Burnett (R),31,Inner Regional Australia,0.5869893,58.6989286,,,,,,,
36630,South Burnett (R),32,Outer Regional Australia,0.4130107,41.3010714,,,,,,,
36660,Southern Downs (R),31,Inner Regional Australia,0.6258925,62.5892502,,,,,,,
36660,Southern Downs (R),32,Outer Regional Australia,0.3741075,37.4107498,,,,,,,
36710,Sunshine Coast (R),30,Major Cities of Australia,0.7621282,76.2128198,,,,,,,
36710,Sunshine Coast (R),31,Inner Regional Australia,0.2378718,23.7871802,,,,,,,
36810,Tablelands (R),32,Outer Regional Australia,0.952357,95.2356956,,,,,,,
36810,Tablelands (R),33,Remote Australia,0.0357192,3.5719248,,,,,,,
36810,Tablelands (R),34,Very Remote Australia,0.0119238,1.1923795,,,,,,,
36910,Toowoomba (R),31,Inner Regional Australia,0.9752627,97.5262734,,,,,,,
36910,Toowoomba (R),32,Outer Regional Australia,0.0247373,2.4737266,,,,,,,
36950,Torres (S),34,Very Remote Australia,1,100,,,,,,,
36960,Torres Strait Island (R),34,Very Remote Australia,1,100,,,,,,,
37010,Townsville (C),32,Outer Regional Australia,1,100,,,,,,,
37300,Weipa (T),34,Very Remote Australia,1,100,,,,,,,
37310,Western Downs (R),31,Inner Regional Australia,0.4319027,43.1902653,,,,,,,
37310,Western Downs (R),32,Outer Regional Australia,0.4901863,49.0186347,,,,,,,
37310,Western Downs (R),33,Remote Australia,0.077911,7.7911,,,,,,,
37340,Whitsunday (R),32,Outer Regional Australia,0.8544268,85.4426754,,,,,,,
37340,Whitsunday (R),33,Remote Australia,0.1285485,12.8548454,,,,,,,
37340,Whitsunday (R),34,Very Remote Australia,0.0170248,1.7024792,,,,,,,
37400,Winton (S),34,Very Remote Australia,1,100,,,,,,,
37550,Woorabinda (S),33,Remote Australia,1,100,,,,,,,
37570,Wujal Wujal (S),33,Remote Australia,1,100,,,,,,,
37600,Yarrabah (S),32,Outer Regional Australia,1,100,,,,,,,
40070,Adelaide (C),40,Major Cities of Australia,1,100,,,,,,,
40120,Adelaide Hills (DC),40,Major Cities of Australia,0.5496974,54.9697428,,,,,,,
40120,Adelaide Hills (DC),41,Inner Regional Australia,0.4503026,45.0302572,,,,,,,
40220,Alexandrina (DC),41,Inner Regional Australia,1,100,,,,,,,
40250,Anangu Pitjantjatjara (AC),44,Very Remote Australia,1,100,,,,,,,
40310,Barossa (DC),40,Major Cities of Australia,0.0232305,2.3230544,,,,,,,
40310,Barossa (DC),41,Inner Regional Australia,0.9767695,97.6769456,,,,,,,
40430,Barunga West (DC),42,Outer Regional Australia,1,100,,,,,,,
40520,Berri and Barmera (DC),42,Outer Regional Australia,1,100,,,,,,,
40700,Burnside (C),40,Major Cities of Australia,1,100,,,,,,,
40910,Campbelltown (C),40,Major Cities of Australia,1,100,,,,,,,
41010,Ceduna (DC),44,Very Remote Australia,1,100,,,,,,,
41060,Charles Sturt (C),40,Major Cities of Australia,1,100,,,,,,,
41140,Clare and Gilbert Valleys (DC),41,Inner Regional Australia,0.3419764,34.1976433,,,,,,,
41140,Clare and Gilbert Valleys (DC),42,Outer Regional Australia,0.6580236,65.8023567,,,,,,,
41190,Cleve (DC),43,Remote Australia,1,100,,,,,,,
41330,Coober Pedy (DC),44,Very Remote Australia,1,100,,,,,,,
41560,Copper Coast (DC),42,Outer Regional Australia,1,100,,,,,,,
41750,Elliston (DC),43,Remote Australia,0.4106875,41.0687451,,,,,,,
41750,Elliston (DC),44,Very Remote Australia,0.5893125,58.9312549,,,,,,,
41830,Flinders Ranges (DC),42,Outer Regional Australia,1,100,,,,,,,
41960,Franklin Harbour (DC),42,Outer Regional Australia,0.1586732,15.867323,,,,,,,
41960,Franklin Harbour (DC),43,Remote Australia,0.8413268,84.132677,,,,,,,
42030,Gawler (T),40,Major Cities of Australia,1,100,,,,,,,
42110,Goyder (DC),41,Inner Regional Australia,0.2603123,26.0312258,,,,,,,
42110,Goyder (DC),42,Outer Regional Australia,0.7396877,73.9687742,,,,,,,
42250,Grant (DC),42,Outer Regional Australia,1,100,,,,,,,
42600,Holdfast Bay (C),40,Major Cities of Australia,1,100,,,,,,,
42750,Kangaroo Island (DC),43,Remote Australia,1,100,,,,,,,
43080,Karoonda East Murray (DC),42,Outer Regional Australia,1,100,,,,,,,
43220,Kimba (DC),43,Remote Australia,1,100,,,,,,,
43360,Kingston (DC),42,Outer Regional Australia,0.8759304,87.5930395,,,,,,,
43360,Kingston (DC),43,Remote Australia,0.1240696,12.4069605,,,,,,,
43650,Light (RegC),40,Major Cities of Australia,0.2991891,29.9189084,,,,,,,
43650,Light (RegC),41,Inner Regional Australia,0.7008109,70.0810916,,,,,,,
43710,Lower Eyre Peninsula (DC),43,Remote Australia,1,100,,,,,,,
43790,Loxton Waikerie (DC),42,Outer Regional Australia,1,100,,,,,,,
43920,Mallala (DC),41,Inner Regional Australia,1,100,,,,,,,
44000,Maralinga Tjarutja (AC),44,Very Remote Australia,1,100,,,,,,,
44060,Marion (C),40,Major Cities of Australia,1,100,,,,,,,
44210,Mid Murray (DC),41,Inner Regional Australia,0.7421469,74.2146926,,,,,,,
44210,Mid Murray (DC),42,Outer Regional Australia,0.2578531,25.7853074,,,,,,,
44340,Mitcham (C),40,Major Cities of Australia,1,100,,,,,,,
44550,Mount Barker (DC),41,Inner Regional Australia,1,100,,,,,,,
44620,Mount Gambier (C),42,Outer Regional Australia,1,100,,,,,,,
44830,Mount Remarkable (DC),42,Outer Regional Australia,1,100,,,,,,,
45040,Murray Bridge (RC),41,Inner Regional Australia,1,100,,,,,,,
45090,Naracoorte and Lucindale (DC),42,Outer Regional Australia,1,100,,,,,,,
45120,Northern Areas (DC),42,Outer Regional Australia,1,100,,,,,,,
45290,Norwood Payneham St Peters (C),40,Major Cities of Australia,1,100,,,,,,,
45340,Onkaparinga (C),40,Major Cities of Australia,0.9569904,95.6990436,,,,,,,
45340,Onkaparinga (C),41,Inner Regional Australia,0.0430096,4.3009564,,,,,,,
45400,Orroroo/Carrieton (DC),42,Outer Regional Australia,1,100,,,,,,,
45540,Peterborough (DC),42,Outer Regional Australia,1,100,,,,,,,
45680,Playford (C),40,Major Cities of Australia,0.9775644,97.7564433,,,,,,,
45680,Playford (C),41,Inner Regional Australia,0.0224356,2.2435567,,,,,,,
45890,Port Adelaide Enfield (C),40,Major Cities of Australia,1,100,,,,,,,
46090,Port Augusta (C),42,Outer Regional Australia,1,100,,,,,,,
46300,Port Lincoln (C),43,Remote Australia,1,100,,,,,,,
46450,Port Pirie City and Dists (M),42,Outer Regional Australia,1,100,,,,,,,
46510,Prospect (C),40,Major Cities of Australia,1,100,,,,,,,
46670,Renmark Paringa (DC),42,Outer Regional Australia,1,100,,,,,,,
46860,Robe (DC),42,Outer Regional Australia,1,100,,,,,,,
46970,Roxby Downs (M),43,Remote Australia,1,100,,,,,,,
47140,Salisbury (C),40,Major Cities of Australia,1,100,,,,,,,
47290,Southern Mallee (DC),42,Outer Regional Australia,0.1351043,13.5104286,,,,,,,
47290,Southern Mallee (DC),43,Remote Australia,0.8648957,86.4895714,,,,,,,
47490,Streaky Bay (DC),43,Remote Australia,0.4765618,47.6561802,,,,,,,
47490,Streaky Bay (DC),44,Very Remote Australia,0.5234382,52.3438198,,,,,,,
47630,Tatiara (DC),42,Outer Regional Australia,0.8042492,80.424915,,,,,,,
47630,Tatiara (DC),43,Remote Australia,0.1957508,19.575085,,,,,,,
47700,Tea Tree Gully (C),40,Major Cities of Australia,1,100,,,,,,,
47800,The Coorong (DC),41,Inner Regional Australia,0.3494928,34.9492836,,,,,,,
47800,The Coorong (DC),42,Outer Regional Australia,0.6505068,65.0506816,,,,,,,
47910,Tumby Bay (DC),43,Remote Australia,1,100,,,,,,,
47980,Unley (C),40,Major Cities of Australia,1,100,,,,,,,
48050,Victor Harbor (C),41,Inner Regional Australia,1,100,,,,,,,
48130,Wakefield (DC),41,Inner Regional Australia,0.7336023,73.3602285,,,,,,,
48130,Wakefield (DC),42,Outer Regional Australia,0.2663977,26.6397715,,,,,,,
48260,Walkerville (M),40,Major Cities of Australia,1,100,,,,,,,
48340,Wattle Range (DC),42,Outer Regional Australia,1,100,,,,,,,
48410,West Torrens (C),40,Major Cities of Australia,1,100,,,,,,,
48540,Whyalla (C),42,Outer Regional Australia,1,100,,,,,,,
48640,Wudinna (DC),43,Remote Australia,0.0456408,4.5640769,,,,,,,
48640,Wudinna (DC),44,Very Remote Australia,0.9543592,95.4359231,,,,,,,
48750,Yankalilla (DC),41,Inner Regional Australia,1,100,,,,,,,
48830,Yorke Peninsula (DC),42,Outer Regional Australia,0.6398708,63.9870817,,,,,,,
48830,Yorke Peninsula (DC),43,Remote Australia,0.3601292,36.0129183,,,,,,,
49399,Unincorporated SA,40,Major Cities of Australia,0.0022484,0.224843,,,,,,,
49399,Unincorporated SA,42,Outer Regional Australia,0.0105673,1.056728,,,,,,,
49399,Unincorporated SA,43,Remote Australia,0.1755955,17.5595459,,,,,,,
49399,Unincorporated SA,44,Very Remote Australia,0.8115888,81.1588831,,,,,,,
50080,Albany (C),52,Outer Regional Australia,0.9953346,99.5334575,,,,,,,
50080,Albany (C),53,Remote Australia,0.0046654,0.4665425,,,,,,,
50210,Armadale (C),50,Major Cities of Australia,0.99276,99.2760012,,,,,,,
50210,Armadale (C),51,Inner Regional Australia,0.00724,0.7239988,,,,,,,
50250,Ashburton (S),54,Very Remote Australia,1,100,,,,,,,
50280,Augusta-Margaret River (S),51,Inner Regional Australia,0.9699041,96.9904103,,,,,,,
50280,Augusta-Margaret River (S),52,Outer Regional Australia,0.0300959,3.0095897,,,,,,,
50350,Bassendean (T),50,Major Cities of Australia,1,100,,,,,,,
50420,Bayswater (C),50,Major Cities of Australia,1,100,,,,,,,
50490,Belmont (C),50,Major Cities of Australia,1,100,,,,,,,
50560,Beverley (S),52,Outer Regional Australia,1,100,,,,,,,
50630,Boddington (S),51,Inner Regional Australia,0.9395775,93.9577479,,,,,,,
50630,Boddington (S),52,Outer Regional Australia,0.0604225,6.0422521,,,,,,,
50770,Boyup Brook (S),52,Outer Regional Australia,1,100,,,,,,,
50840,Bridgetown-Greenbushes (S),51,Inner Regional Australia,0.3503907,35.0390671,,,,,,,
50840,Bridgetown-Greenbushes (S),52,Outer Regional Australia,0.6496093,64.9609329,,,,,,,
50910,Brookton (S),52,Outer Regional Australia,1,100,,,,,,,
50980,Broome (S),53,Remote Australia,0.8741656,87.4165551,,,,,,,
50980,Broome (S),54,Very Remote Australia,0.1258344,12.5834449,,,,,,,
51080,Broomehill-Tambellup (S),52,Outer Regional Australia,1,100,,,,,,,
51120,Bruce Rock (S),53,Remote Australia,1,100,,,,,,,
51190,Bunbury (C),51,Inner Regional Australia,1,100,,,,,,,
51260,Busselton (S),51,Inner Regional Australia,1,100,,,,,,,
51310,Cambridge (T),50,Major Cities of Australia,1,100,,,,,,,
51330,Canning (C),50,Major Cities of Australia,1,100,,,,,,,
51400,Capel (S),51,Inner Regional Australia,1,100,,,,,,,
51470,Carnamah (S),53,Remote Australia,1,100,,,,,,,
51540,Carnarvon (S),53,Remote Australia,0.9240058,92.4005769,,,,,,,
51540,Carnarvon (S),54,Very Remote Australia,0.0759942,7.5994231,,,,,,,
51610,Chapman Valley (S),52,Outer Regional Australia,0.718868,71.8868035,,,,,,,
51610,Chapman Valley (S),53,Remote Australia,0.281132,28.1131965,,,,,,,
51680,Chittering (S),51,Inner Regional Australia,0.8780338,87.8033839,,,,,,,
51680,Chittering (S),52,Outer Regional Australia,0.1219662,12.1966161,,,,,,,
51750,Claremont (T),50,Major Cities of Australia,1,100,,,,,,,
51820,Cockburn (C),50,Major Cities of Australia,0.9987177,99.8717668,,,,,,,
51820,Cockburn (C),53,Remote Australia,0.0012823,0.128231,,,,,,,
51890,Collie (S),51,Inner Regional Australia,1,100,,,,,,,
51960,Coolgardie (S),52,Outer Regional Australia,0.6745193,67.4519334,,,,,,,
51960,Coolgardie (S),54,Very Remote Australia,0.3254807,32.5480666,,,,,,,
52030,Coorow (S),53,Remote Australia,1,100,,,,,,,
52100,Corrigin (S),53,Remote Australia,1,100,,,,,,,
52170,Cottesloe (T),50,Major Cities of Australia,1,100,,,,,,,
52240,Cranbrook (S),52,Outer Regional Australia,1,100,,,,,,,
52310,Cuballing (S),52,Outer Regional Australia,1,100,,,,,,,
52380,Cue (S),54,Very Remote Australia,1,100,,,,,,,
52450,Cunderdin (S),52,Outer Regional Australia,1,100,,,,,,,
52520,Dalwallinu (S),53,Remote Australia,1,100,,,,,,,
52590,Dandaragan (S),52,Outer Regional Australia,1,100,,,,,,,
52660,Dardanup (S),51,Inner Regional Australia,1,100,,,,,,,
52730,Denmark (S),52,Outer Regional Australia,1,100,,,,,,,
52800,Derby-West Kimberley (S),54,Very Remote Australia,1,100,,,,,,,
52870,Donnybrook-Balingup (S),51,Inner Regional Australia,1,100,,,,,,,
52940,Dowerin (S),52,Outer Regional Australia,1,100,,,,,,,
53010,Dumbleyung (S),53,Remote Australia,1,100,,,,,,,
53080,Dundas (S),54,Very Remote Australia,1,100,,,,,,,
53150,East Fremantle (T),50,Major Cities of Australia,1,100,,,,,,,
53220,East Pilbara (S),54,Very Remote Australia,1,100,,,,,,,
53290,Esperance (S),53,Remote Australia,0.9697128,96.9712761,,,,,,,
53290,Esperance (S),54,Very Remote Australia,0.0302872,3.0287239,,,,,,,
53360,Exmouth (S),54,Very Remote Australia,1,100,,,,,,,
53430,Fremantle (C),50,Major Cities of Australia,1,100,,,,,,,
53520,Geraldton-Greenough (C),52,Outer Regional Australia,1,100,,,,,,,
53570,Gingin (S),51,Inner Regional Australia,0.6251247,62.5124702,,,,,,,
53570,Gingin (S),52,Outer Regional Australia,0.3748753,37.4875298,,,,,,,
53640,Gnowangerup (S),52,Outer Regional Australia,0.0010164,0.1016363,,,,,,,
53640,Gnowangerup (S),53,Remote Australia,0.9989836,99.8983637,,,,,,,
53710,Goomalling (S),52,Outer Regional Australia,1,100,,,,,,,
53780,Gosnells (C),50,Major Cities of Australia,1,100,,,,,,,
53920,Halls Creek (S),54,Very Remote Australia,1,100,,,,,,,
53990,Harvey (S),51,Inner Regional Australia,1,100,,,,,,,
54060,Irwin (S),52,Outer Regional Australia,1,100,,,,,,,
54130,Jerramungup (S),53,Remote Australia,1,100,,,,,,,
54170,Joondalup (C),50,Major Cities of Australia,1,100,,,,,,,
54200,Kalamunda (S),50,Major Cities of Australia,0.9892436,98.9243598,,,,,,,
54200,Kalamunda (S),51,Inner Regional Australia,0.0107564,1.0756402,,,,,,,
54280,Kalgoorlie/Boulder (C),52,Outer Regional Australia,0.9914801,99.148006,,,,,,,
54280,Kalgoorlie/Boulder (C),54,Very Remote Australia,0.0085199,0.851994,,,,,,,
54340,Katanning (S),52,Outer Regional Australia,1,100,,,,,,,
54410,Kellerberrin (S),52,Outer Regional Australia,1,100,,,,,,,
54480,Kent (S),53,Remote Australia,1,100,,,,,,,
54550,Kojonup (S),52,Outer Regional Australia,1,100,,,,,,,
54620,Kondinin (S),53,Remote Australia,0.6625151,66.2515112,,,,,,,
54620,Kondinin (S),54,Very Remote Australia,0.3374849,33.7484888,,,,,,,
54690,Koorda (S),53,Remote Australia,1,100,,,,,,,
54760,Kulin (S),53,Remote Australia,1,100,,,,,,,
54830,Kwinana (T),50,Major Cities of Australia,1,100,,,,,,,
54900,Lake Grace (S),53,Remote Australia,0.7560042,75.6004196,,,,,,,
54900,Lake Grace (S),54,Very Remote Australia,0.2439958,24.3995804,,,,,,,
54970,Laverton (S),54,Very Remote Australia,1,100,,,,,,,
55040,Leonora (S),54,Very Remote Australia,1,100,,,,,,,
55110,Mandurah (C),50,Major Cities of Australia,0.9938059,99.3805857,,,,,,,
55110,Mandurah (C),51,Inner Regional Australia,0.0061941,0.6194143,,,,,,,
55180,Manjimup (S),52,Outer Regional Australia,0.9159192,91.5919175,,,,,,,
55180,Manjimup (S),53,Remote Australia,0.0840808,8.4080825,,,,,,,
55250,Meekatharra (S),54,Very Remote Australia,1,100,,,,,,,
55320,Melville (C),50,Major Cities of Australia,1,100,,,,,,,
55390,Menzies (S),54,Very Remote Australia,1,100,,,,,,,
55460,Merredin (S),52,Outer Regional Australia,0.8325668,83.2566847,,,,,,,
55460,Merredin (S),53,Remote Australia,0.1674332,16.7433153,,,,,,,
55530,Mingenew (S),52,Outer Regional Australia,1,100,,,,,,,
55600,Moora (S),52,Outer Regional Australia,0.9232879,92.3287894,,,,,,,
55600,Moora (S),53,Remote Australia,0.0767121,7.6712106,,,,,,,
55670,Morawa (S),53,Remote Australia,1,100,,,,,,,
55740,Mosman Park (T),50,Major Cities of Australia,1,100,,,,,,,
55810,Mount Magnet (S),54,Very Remote Australia,1,100,,,,,,,
55880,Mount Marshall (S),53,Remote Australia,1,100,,,,,,,
55950,Mukinbudin (S),53,Remote Australia,1,100,,,,,,,
56020,Mullewa (S),53,Remote Australia,1,100,,,,,,,
56090,Mundaring (S),50,Major Cities of Australia,0.8894974,88.9497364,,,,,,,
56090,Mundaring (S),51,Inner Regional Australia,0.1105026,11.0502636,,,,,,,
56160,Murchison (S),54,Very Remote Australia,1,100,,,,,,,
56230,Murray (S),50,Major Cities of Australia,0.4997128,49.97128,,,,,,,
