Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
12950,Gilgandra (A),12,Outer Regional Australia,1,100,,,,,,,
13010,Glen Innes Severn (A),12,Outer Regional Australia,1,100,,,,,,,
13050,Gloucester (A),11,Inner Regional Australia,0.7543497,75.4349748,,,,,,,
13050,Gloucester (A),12,Outer Regional Australia,0.2456503,24.5650252,,,,,,,
13100,Gosford (C),10,Major Cities of Australia,0.9750916,97.5091638,,,,,,,
13100,Gosford (C),11,Inner Regional Australia,0.0249084,2.4908362,,,,,,,
13310,Goulburn Mulwaree (A),11,Inner Regional Australia,0.9792567,97.9256717,,,,,,,
13310,Goulburn Mulwaree (A),12,Outer Regional Australia,0.0207433,2.0743283,,,,,,,
13320,Great Lakes (A),11,Inner Regional Australia,0.9949461,99.4946099,,,,,,,
13320,Great Lakes (A),12,Outer Regional Australia,0.0050539,0.5053901,,,,,,,
13340,Greater Hume Shire (A),11,Inner Regional Australia,0.8984099,89.8409926,,,,,,,
13340,Greater Hume Shire (A),12,Outer Regional Australia,0.1015901,10.1590074,,,,,,,
13380,Greater Taree (C),11,Inner Regional Australia,0.9865487,98.6548669,,,,,,,
13380,Greater Taree (C),12,Outer Regional Australia,0.0134513,1.3451331,,,,,,,
13450,Griffith (C),12,Outer Regional Australia,1,100,,,,,,,
13500,Gundagai (A),11,Inner Regional Australia,0.7349151,73.4915147,,,,,,,
13500,Gundagai (A),12,Outer Regional Australia,0.2650849,26.5084853,,,,,,,
13550,Gunnedah (A),12,Outer Regional Australia,1,100,,,,,,,
13650,Guyra (A),12,Outer Regional Australia,1,100,,,,,,,
13660,Gwydir (A),12,Outer Regional Australia,1,100,,,,,,,
13700,Harden (A),11,Inner Regional Australia,0.9155801,91.5580075,,,,,,,
13700,Harden (A),12,Outer Regional Australia,0.0844199,8.4419925,,,,,,,
13800,Hawkesbury (C),10,Major Cities of Australia,0.644725,64.4725008,,,,,,,
13800,Hawkesbury (C),11,Inner Regional Australia,0.3499502,34.995018,,,,,,,
13800,Hawkesbury (C),12,Outer Regional Australia,0.0053248,0.5324812,,,,,,,
13850,Hay (A),12,Outer Regional Australia,0.7785407,77.8540738,,,,,,,
13850,Hay (A),13,Remote Australia,0.2214593,22.1459262,,,,,,,
13950,Holroyd (C),10,Major Cities of Australia,1,100,,,,,,,
14000,Hornsby (A),10,Major Cities of Australia,0.9641617,96.4161723,,,,,,,
14000,Hornsby (A),11,Inner Regional Australia,0.0358383,3.5838277,,,,,,,
14100,Hunters Hill (A),10,Major Cities of Australia,1,100,,,,,,,
14150,Hurstville (C),10,Major Cities of Australia,1,100,,,,,,,
14200,Inverell (A),12,Outer Regional Australia,1,100,,,,,,,
14250,Jerilderie (A),12,Outer Regional Australia,1,100,,,,,,,
14300,Junee (A),11,Inner Regional Australia,0.8783847,87.838474,,,,,,,
14300,Junee (A),12,Outer Regional Australia,0.1216153,12.161526,,,,,,,
14350,Kempsey (A),11,Inner Regional Australia,0.5474829,54.7482926,,,,,,,
14350,Kempsey (A),12,Outer Regional Australia,0.4525171,45.2517074,,,,,,,
14400,Kiama (A),11,Inner Regional Australia,1,100,,,,,,,
14450,Kogarah (C),10,Major Cities of Australia,1,100,,,,,,,
14500,Ku-ring-gai (A),10,Major Cities of Australia,1,100,,,,,,,
14550,Kyogle (A),11,Inner Regional Australia,0.7529463,75.2946266,,,,,,,
14550,Kyogle (A),12,Outer Regional Australia,0.2470537,24.7053734,,,,,,,
14600,Lachlan (A),12,Outer Regional Australia,0.4805926,48.0592611,,,,,,,
14600,Lachlan (A),13,Remote Australia,0.5194074,51.9407389,,,,,,,
14650,Lake Macquarie (C),10,Major Cities of Australia,0.9874235,98.7423476,,,,,,,
14650,Lake Macquarie (C),11,Inner Regional Australia,0.0125765,1.2576524,,,,,,,
14700,Lane Cove (A),10,Major Cities of Australia,1,100,,,,,,,
14750,Leeton (A),12,Outer Regional Australia,1,100,,,,,,,
14800,Leichhardt (A),10,Major Cities of Australia,1,100,,,,,,,
14850,Lismore (C),11,Inner Regional Australia,1,100,,,,,,,
14870,Lithgow (C),11,Inner Regional Australia,0.985613,98.5612951,,,,,,,
14870,Lithgow (C),12,Outer Regional Australia,0.014387,1.4387049,,,,,,,
14900,Liverpool (C),10,Major Cities of Australia,0.9796274,97.9627398,,,,,,,
14900,Liverpool (C),11,Inner Regional Australia,0.0203726,2.0372602,,,,,,,
14920,Liverpool Plains (A),11,Inner Regional Australia,0.1924947,19.2494686,,,,,,,
14920,Liverpool Plains (A),12,Outer Regional Australia,0.8075053,80.7505314,,,,,,,
14950,Lockhart (A),11,Inner Regional Australia,0.3514479,35.1447895,,,,,,,
14950,Lockhart (A),12,Outer Regional Australia,0.6485521,64.8552105,,,,,,,
15050,Maitland (C),10,Major Cities of Australia,0.9696924,96.9692429,,,,,,,
15050,Maitland (C),11,Inner Regional Australia,0.0303076,3.0307571,,,,,,,
15150,Manly (A),10,Major Cities of Australia,1,100,,,,,,,
15200,Marrickville (A),10,Major Cities of Australia,1,100,,,,,,,
15270,Mid-Western Regional (A),11,Inner Regional Australia,0.5271593,52.7159302,,,,,,,
